complaint_type_x,complaint_type_y,descriptor_x,descriptor_y,incident_address
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
